#
temp,Bg
100,1.176472351815429
104,1.1760139775975302
108,1.1755349356498015
112,1.1750354736258644
116,1.1745158809549625
120,1.173976481634447
124,1.1734176277980728
128,1.1728396940526598
132,1.1722430725429653
136,1.171628168686256
140,1.1709953975096217
144,1.1703451805212217
148,1.1696779430489461
152,1.1689941119846652
156,1.1682941138781693
160,1.1675783733312364
164,1.1668473116485472
168,1.166101345708053
172,1.16534088701877
176,1.1645663409387237
180,1.1637781060299186
184,1.1629765735307718
188,1.1621621269294717
192,1.1613351416242912
196,1.1604959846590057
200,1.1596450145233679
204,1.1587825810100558
208,1.1579090251207542
212,1.1570246790150294
216,1.15612986599653
220,1.155224900531721
224,1.1543100882969728
228,1.1533857262503089
232,1.1524521027245445
236,1.1515094975388989
240,1.1505581821264872
244,1.1495984196753573
248,1.1486304652809747
252,1.1476545661082787
256,1.1466709615616075
260,1.14567988346097
264,1.1446815562232884
268,1.1436761970473799
272,1.1426640161015689
276,1.1416452167129436
280,1.140619995557369
284,1.1395885428494785
288,1.138551042531947
292,1.1375076724634354
296,1.136458604604674
300,1.1354040052022187
304,1.1343440349694796
308,1.1332788492646813
312,1.1322085982654635
316,1.1311334271398823
320,1.1300534762136123
324,1.1289688811331937
328,1.1278797730251986
332,1.1267862786512262
336,1.1256885205586629
340,1.1245866172271692
344,1.1234806832108768
348,1.1223708292762977
352,1.1212571625359686
356,1.1201397865778635
360,1.119018801590621
364,1.1178943044846505
368,1.1167663890091772
372,1.1156351458653118
376,1.1145006628152185
380,1.1133630247874755
384,1.1122223139787164
388,1.1110786099516508
392,1.1099319897295576
396,1.1087825278873573
400,1.1076302966393563
404,1.106475365923769
408,1.1053178034841182
412,1.1041576749476114
416,1.1029950439005958
420,1.1018299719611881
424,1.100662518849178
428,1.0994927424532974
432,1.0983206988959517
436,1.0971464425955022
440,1.095970026326192
444,1.0947915012757963
448,1.0936109171010875
452,1.0924283219811932
456,1.09124376266893
460,1.090057284540185
464,1.088868931641427
468,1.087678746735413
472,1.0864867713451627
476,1.0852930457962695
480,1.0840976092576118
484,1.0829004997805252
488,1.0817017543365004
492,1.0805014088534626
496,1.0792994982506876
500,1.0780960564724102
